,block_height,no_nodes,no_edges,value_transacted,total_density,nodes_self,selfloop_value,old_nodes_in,ratio_oldin_totalin,value_to_old,old_density
52,387703.0,4682.0,18055.0,524405346538.0,0.000823810726211855,1174.0,38083044126.719055,6495.0,0.3597142224191405,235592133491.21014,0.0005401714897300013
53,416376.0,6162.0,9364.0,3788529826396.0,0.000246654192770946,841.0,781307234238.1809,3647.0,0.38942872397223705,2229782275644.148,0.00021797595471904495
54,425698.0,6679.0,7964.0,1394930099699.0,0.00017855556618279542,247.0,323592594149.25146,1026.0,0.1288135593220339,964437806313.5227,2.6126625649435136e-05
55,432252.0,7525.0,12726.0,1066824578391.0,0.0002247691109380216,1193.0,215831194442.64618,5254.0,0.4128231319242555,670564427838.6097,0.00022641186500185466
56,380437.0,2101.0,7429.0,1440063353651.0,0.0016837786994855057,362.0,35252687463.490906,4678.0,0.6296096904441454,1107084658924.9165,0.0018177095839159577
57,446085.0,5477.0,10114.0,770493969856.0,0.00033722267486065974,402.0,41721815256.76666,7459.0,0.7374196737518537,388409502349.70557,0.0003886585297711485
58,402568.0,7308.0,14056.0,3067065924313.0,0.000263223162379852,1087.0,89800674685.67644,7530.0,0.53567617557089,1095000598511.564,0.0002161593733347176
59,444042.0,7649.0,11232.0,1597082943153.0,0.00019200147037023462,382.0,160034163778.2127,3186.0,0.28362859432030624,617636596871.0818,0.0001183953037044069
60,435339.0,414.0,595.0,35233415930.0,0.0034798984688446735,44.0,3206300389.0714283,280.0,0.4697986577181208,12930727675.517143,0.003914280082228042
61,383117.0,6542.0,15841.0,1065846666092.0001,0.0003701927465404003,976.0,45257940690.007576,5541.0,0.3497664436308547,360235393212.9135,0.0002590952127829802
62,430734.0,1393.0,1614.0,715626105868.0,0.0008323637893903013,123.0,118463928826.0,665.0,0.4117647058823529,444055972129.1819,0.000809714391650945
63,419472.0,46.0,36.0,17530319725.000004,0.017391304347826087,4.0,824082001.1666666,14.0,0.3783783783783784,7135009447.333334,0.021538461538461538
64,434834.0,5820.0,9749.0,2002291685844.9998,0.00028786490989051746,411.0,66177207775.63333,5022.0,0.5150769230769231,1086075275841.5065,0.0002806182541642188
65,428179.0,6786.0,9661.0,1160724701471.0,0.00020982555223909123,568.0,186876373404.05,3758.0,0.3889463879114055,632832519005.2153,0.0001776545518951885
66,358425.0,5978.0,23226.0,971520801277.0,0.0006500327759142286,579.0,61594746633.16667,4892.0,0.21061695440650965,313013058695.4476,0.0002847830130286704
67,446567.0,7342.0,9004.0,652581011142.0,0.00016705746312889276,563.0,100774837122.08334,3174.0,0.35247084952804,289709303392.2628,0.00015907229596463118
68,430748.0,7435.0,11116.0,1154044469266.0,0.00020111525246423176,839.0,176579703325.6268,5767.0,0.5187550598182963,636626639518.715,0.0002302440368390459
69,379549.0,1158.0,1520.0,197813393654.0,0.001134492605645892,18.0,2622299675.5,1418.0,0.9322813938198553,48823691681.0,0.0011395599273510456
70,383135.0,6692.0,14935.0,3363365546454.0,0.0003335479415256847,1192.0,150764891186.32736,7618.0,0.5100428494911623,1933999685054.8188,0.0004168157907176187
71,389284.0,1090.0,2313.0,1077249709661.0,0.0019485935249071195,128.0,20174157971.0,868.0,0.37510803802938636,422549190061.3021,0.0015081883502936135
72,359081.0,3960.0,17630.0,852170243580.0,0.001124531498363274,1445.0,59974041806.623375,5088.0,0.2885826101752595,360135628501.77295,0.000746839170414022
73,365744.0,990.0,2921.0,387039013702.0,0.002983321587972751,116.0,23800685335.0,474.0,0.162217659137577,61607001162.8488,0.0010065227905517574
74,381105.0,3421.0,5648.0,1605693404810.0,0.0004827424695422665,528.0,51349521120.166664,2443.0,0.43246592317224286,786042224691.4037,0.000432147568526123
75,382136.0,648.0,1638.0,1004716127665.0,0.003906920831186674,352.0,38140731204.0,1234.0,0.7528981086028066,853197874161.5,0.00377915015208775
76,358073.0,2474.0,9708.0,238848573318.99997,0.0015867406796964206,161.0,53670037347.66667,8630.0,0.8888660006179833,143348732444.2493,0.0018769990497365535
77,419003.0,1644.0,1965.0,703094504094.0,0.0007274835510971119,194.0,32208399043.16667,822.0,0.41810783316378436,272415210140.7822,0.0008517576888831676
78,381557.0,6282.0,23568.0,1611496930411.0,0.0005973047989517361,1486.0,84061800265.20834,20158.0,0.855275998133141,790174519205.8759,0.0007194733351665238
79,390347.0,3923.0,11320.0,424851631330.0,0.0007357334970492017,419.0,58268275124.893936,5879.0,0.5193004151576716,207217549965.5732,0.0008143724255045724
80,435398.0,7582.0,9429.0,2468647671261.0,0.00016404211461611587,822.0,215464475439.56314,3936.0,0.41739130434782606,1172834361287.0615,0.0001725997360972354
81,412875.0,3083.0,7438.0,390371187254.0,0.0007827985542958886,166.0,84265807543.0,6236.0,0.8382847156875924,257775306147.0939,0.0008209859856900295
82,432332.0,1968.0,2261.0,251949013029.0,0.000584078349680294,178.0,13460464603.257576,795.0,0.35145888594164454,114905125161.74646,0.00034588476441502295
83,407758.0,811.0,4968.0,25344867613.0,0.007562679819153309,78.0,6074183598.5,4338.0,0.8730126786073656,13626286771.252495,0.00998565570935054
84,424657.0,4701.0,24679.0,359792587245.0,0.0011169647019420947,945.0,76140705524.17505,20157.0,0.8167341977309562,227745086829.2818,0.0013823858779378805
85,348674.0,3313.0,10879.0,826732072140.0,0.0009914646007311266,924.0,143995570761.21796,4474.0,0.41121323529411763,448762437896.9806,0.0008900563205791697
86,419545.0,222.0,296.0,17686800467.0,0.006033182503770739,19.0,2880278021.0,93.0,0.31313131313131315,9742265908.023394,0.003947033358798065
87,423290.0,5895.0,12724.0,1078503054321.0,0.00036620959541668144,1173.0,157632539195.58844,6772.0,0.5321807465618861,585606188081.3541,0.0004027254273464452
88,404191.0,4308.0,9699.0,1944305100831.0,0.000522728757292818,1683.0,141307586366.74414,5316.0,0.548041237113402,1052057626169.0084,0.0005587904333027995
89,341730.0,3821.0,9423.0,218116500380.99997,0.0006455781017277076,282.0,10457259406.541666,4273.0,0.45341680814940577,88296466420.46997,0.000375260249769274
90,381161.0,8219.0,12387.0,4869494072155.0,0.00018339226748793398,983.0,212027804265.75757,6580.0,0.5311591863093316,2980098688055.238,0.00013752510799645246
91,434412.0,6478.0,9588.0,3479966500337.0,0.00022851419583666584,514.0,102307762667.05951,3636.0,0.37918448221920953,1569642220528.8918,0.00019644222196635983
